Date,AAPL,GLD,JPM,MSFT,NVDA,SPY
2018-01-02,102223600,11762500,13578800,22483800,355616000,86655700
2018-01-03,118071600,7904300,11901000,26061400,914704000,90070400
2018-01-04,89738400,7329700,12953700,21912000,583268000,80636400
2018-01-05,94640000,5739900,14155000,23407100,580124000,83524000
2018-01-08,82271200,3566700,12466500,22113000,881216000,57319200
2018-01-09,86336000,9153600,13292300,19484300,497000000,57254000
2018-01-10,95839600,14809300,15834500,18652200,582664000,69574300
2018-01-11,74670800,5994700,13676800,17808900,406032000,62361500
2018-01-12,101672400,9258600,18884200,24271500,359916000,90816100
2018-01-16,118263600,8083900,22703300,36599700,702348000,106555100
2018-01-17,137547200,10130500,14940300,25621200,538408000,113258800
2018-01-18,124773600,6289300,14572900,24159700,408632000,100728000
2018-01-19,129700400,8773800,18785500,36875000,609380000,140920100
2018-01-22,108434400,4893500,12475700,23601600,550944000,91322400
2018-01-23,130756400,6190400,12320800,23412800,475228000,97084700
2018-01-24,204420400,11827600,15904500,33277500,579972000,134816100
2018-01-25,166116000,15219700,13510000,26383200,409884000,84587300
2018-01-26,156572000,7828700,13883900,29172200,516356000,107743100
2018-01-29,202561600,6956400,11679900,31569900,455116000,90118300
2018-01-30,184192800,9736100,14279100,38635100,570832000,131796400
2018-01-31,129915600,13418900,13141400,48756300,478576000,108364800
2018-02-01,188923200,10854600,13800600,47227900,519224000,90102500
2018-02-02,346375200,16789200,16477300,47867800,718464000,173174800
2018-02-05,290954000,13596300,30097600,51031500,1165204000,294681800
2018-02-06,272975200,17672500,33114800,67998600,1114800000,355026800
2018-02-07,206434400,8558500,21878300,41107600,802932000,167376100
2018-02-08,217562000,7343600,27425800,55628700,1144000000,246449500
2018-02-09,282690400,14140700,28188000,63499100,1674604000,283565300
2018-02-12,243278000,6984900,18043300,35720300,1093172000,143736000
2018-02-13,130196800,5321300,16358200,26407700,625524000,81223600
2018-02-14,162579600,16416400,15186900,34960900,744988000,120735700
2018-02-15,204588800,7276500,12130200,27823900,698900000,111200300
2018-02-16,160704400,7956900,13214300,30596900,637656000,160420100
2018-02-20,135722000,11148700,13461500,30911700,686240000,86369700
2018-02-21,149886400,7908800,14212500,26922500,892292000,98883700
2018-02-22,123967600,5346300,17070400,24392800,534364000,110511300
2018-02-23,135249600,4239700,12162500,26329200,415300000,92766400
2018-02-26,152648800,3194300,16511200,30199800,469312000,86491400
2018-02-27,155712400,7082300,17563300,25869100,455436000,99099200
2018-02-28,151128400,4534900,17735600,31167300,523116000,121907800
2018-03-01,195208000,12910100,18690000,37135600,1040120000,176855100
2018-03-02,153816000,9994300,18353700,32830400,913428000,139083200
2018-03-05,113605600,5778300,13933000,23901600,620776000,97307400
2018-03-06,95154000,8676800,10674400,22175800,636808000,79213200
2018-03-07,126814000,5158700,13006500,26716100,581208000,87063500
2018-03-08,95096400,3474900,11173700,25887800,411912000,66901200
2018-03-09,128740800,5066800,15366600,36937300,505524000,113625300
2018-03-12,128828400,2884300,12339300,26073700,605060000,71924800
2018-03-13,126774000,4798300,13312300,35387800,619772000,91968900
2018-03-14,117473600,3777000,12905100,32132000,505496000,105895100
2018-03-15,90975200,6130100,8748000,27611000,401952000,83433000
2018-03-16,157618800,7402200,19888900,49081300,399456000,100343700
2018-03-19,133787200,4335400,13214900,33344100,713772000,109208400
2018-03-20,78597600,3399400,9921200,23075200,554696000,59757300
2018-03-21,148219600,12532000,13633000,24457100,438688000,78709600
2018-03-22,165963200,5298700,22550400,38604700,551196000,148785900
2018-03-23,164115200,12025900,23081500,44068900,735620000,183534800
2018-03-26,150164800,6169800,20217500,56396800,611424000,141956100
2018-03-27,163690400,6180700,18039900,56569000,1409000000,129941400
2018-03-28,166674000,10254900,19189300,52501100,945904000,146452300
2018-03-29,153594000,7102000,13274600,45867500,916628000,111601600
2018-04-02,150347200,11421100,18822500,48515400,922092000,186286300
2018-04-03,121112000,6083700,14050700,37213800,667432000,119956900
2018-04-04,138422000,7488300,15302600,35560000,789168000,123715300
2018-04-05,107732800,5333000,16627000,29771900,701240000,82652600
2018-04-06,140021200,6121200,18906000,38026000,662988000,179521200
2018-04-09,116070800,4189900,15974300,31533900,499524000,105442900
2018-04-10,113634400,5268800,13951400,26812000,761676000,103529000
2018-04-11,89726400,12348600,14503300,24872100,460244000,91140200
2018-04-12,91557200,8141300,16435500,26758900,593920000,68890500
2018-04-13,100497200,6821300,39152800,23346100,503036000,85079200
2018-04-16,86313600,4600000,16580500,20288100,350792000,63405300
2018-04-17,106421600,4184100,15501400,26771000,447224000,64682000
2018-04-18,83018000,6755600,16081400,21043300,391364000,57303900
2018-04-19,139235200,8736100,17911000,23552500,471996000,77655900
2018-04-20,261964400,10403100,15584400,31154400,386200000,99953100
2018-04-23,146062000,6921500,11285800,22331800,427508000,65558000
2018-04-24,134768000,4733100,16453100,34524800,414596000,112885500
2018-04-25,113528400,5985700,13548200,33729300,588492000,103840900
2018-04-26,111852000,7517100,10299500,42529000,375824000,67731900
2018-04-27,142623200,5654000,9384000,48272800,400848000,57053600
2018-04-30,169709600,9830600,13744900,41523600,327844000,82182300
2018-05-01,214277600,7551600,10503400,31408900,253788000,74203400
2018-05-02,266157600,7614000,12162100,27471000,268248000,86368900
2018-05-03,136272800,4857400,15379100,31142500,443144000,136311500
2018-05-04,224805200,5883600,11967900,22531300,400660000,91222100
2018-05-07,169805600,3397500,9356700,24242000,687616000,55304900
2018-05-08,113611200,5551100,12543200,23484600,506616000,67499200
2018-05-09,92844800,4405600,11368100,27327400,596760000,59666100
2018-05-10,111957200,5218400,9159700,22388100,994080000,72063900
2018-05-11,104848800,4299200,10253000,16778300,1214456000,59871500
2018-05-14,83115200,3753200,8710700,19454100,523140000,54790600
2018-05-15,94780800,10911900,11536200,24594000,963528000,87036100
2018-05-16,76732400,4943300,7571100,17384700,553828000,53942600
2018-05-17,69176000,7781300,8617200,17246700,519784000,56536400
2018-05-18,73190800,6837100,11806300,17865800,483716000,64368000
2018-05-21,73603200,4126700,9441900,19422500,640624000,58025900
2018-05-22,60962800,4579600,11507600,15441200,518264000,52966400
2018-05-23,80233600,7007300,11453900,21251200,442956000,64694200
2018-05-24,92936000,8850100,14084800,26649300,437372000,76043800
2018-05-25,69844000,7920700,8283500,18363900,292112000,56374800
2018-05-29,90056400,9013200,30643800,28671000,352684000,115908600
2018-05-30,74762000,4573700,17490800,22158500,390996000,69678400
2018-05-31,109931200,7862500,19808200,34140900,493868000,93519900
2018-06-01,93770000,8059100,13594200,28655600,421968000,71258400
2018-06-04,105064800,4345400,9415400,27281600,642024000,45385200
2018-06-05,86264000,6864200,10415200,23514400,391712000,51135000
2018-06-06,83734400,4083700,15453600,21122900,371356000,62732200
2018-06-07,85388800,3700700,13444400,28232200,369448000,72969400
2018-06-08,106627200,3865700,10383200,22165100,360456000,72139700
2018-06-11,73234000,3201200,12642900,23490900,265372000,58892500
2018-06-12,67644400,7279600,15294100,18325200,319160000,72329000
2018-06-13,86553600,5867700,14979700,29492900,338208000,79070600
2018-06-14,86440400,8015400,20487300,25691800,430016000,77097600
2018-06-15,246876800,14537000,26028600,65738600,432260000,120041600
2018-06-18,73939600,3846000,9786800,23586000,356268000,52917600
2018-06-19,134314000,4925800,12707200,28653100,594932000,97531500
2018-06-20,82514800,4548500,8876900,26180800,369780000,53785500
2018-06-21,102847600,5681900,11048700,23198200,359516000,71061400
2018-06-22,108801600,4489400,19478900,38923100,434160000,54898500
2018-06-25,126652400,9300200,16907600,35433300,665816000,137854200
2018-06-26,98276800,8674500,17086800,26897200,478884000,68547400
2018-06-27,101141200,6480100,16276800,31298400,453892000,105110700
2018-06-28,69460800,7760500,14491300,26650700,338012000,76650500
2018-06-29,90950800,8002800,18972400,28053200,392300000,97592500
2018-07-02,70925200,12021900,11130000,19564500,357572000,63554800
